"","start","Action.Jackson."
"1",2014-12-01,16
"2",2014-12-02,17
"3",2014-12-03,18
"4",2014-12-04,23
"5",2014-12-05,78
"6",2014-12-06,100
"7",2014-12-07,79
"8",2014-12-08,56
"9",2014-12-09,44
"10",2014-12-10,39
"11",2014-12-11,36
"12",2014-12-12,34
"13",2014-12-13,40
"14",2014-12-14,35
"15",2014-12-15,24
"16",2014-12-16,22
"17",2014-12-17,20
"18",2014-12-18,20
"19",2014-12-19,18
"20",2014-12-20,21
"21",2014-12-21,19
"22",2014-12-22,14
"23",2014-12-23,13
"24",2014-12-24,14
"25",2014-12-25,15
"26",2014-12-26,12
"27",2014-12-27,12
"28",2014-12-28,11
"29",2014-12-29,9
"30",2014-12-30,8
"31",2014-12-31,9
