"","start","Roy.movie."
"1",2015-03-01,100
"2",2015-03-02,75
"3",2015-03-03,66
"4",2015-03-04,62
"5",2015-03-05,67
"6",2015-03-06,62
"7",2015-03-07,76
"8",2015-03-08,73
"9",2015-03-09,49
"10",2015-03-10,48
"11",2015-03-11,48
"12",2015-03-12,49
"13",2015-03-13,52
"14",2015-03-14,62
"15",2015-03-15,63
"16",2015-03-16,54
"17",2015-03-17,55
"18",2015-03-18,49
"19",2015-03-19,49
"20",2015-03-20,52
"21",2015-03-21,72
"22",2015-03-22,72
"23",2015-03-23,57
"24",2015-03-24,56
"25",2015-03-25,54
"26",2015-03-26,49
"27",2015-03-27,65
"28",2015-03-28,89
"29",2015-03-29,83
"30",2015-03-30,60
"31",2015-03-31,62
